country,index,name,n_turbines,power_mw,status,year,dist_coast,area_sqkm,lat,lon,2025,2030,2035,2040
United Kingdom,290,East Anglia Southern Met Mast (1B),1.0,,Production,,56406.6193879,0.19583319425,52.21438593508176,2.502356968812113,0.0,0.0,0.0,0.0
United Kingdom,291,Sheringham Shoal Extension,,317.0,Planned,,15937.1449996,92.6490332046,53.167405288280314,1.1619350141683544,0.0,0.0,0.0,0.0
United Kingdom,292,Seagreen Bravo Wind Farm,,2300.0,Planned,,38163.6920985,193.839417307,56.57263283552983,-1.657220553213821,0.0,0.0,0.0,0.0
United Kingdom,295,East Anglia Two Wind Farm,,800.0,Planned,,29719.3740776,255.555397408,52.153345788394184,2.2015936862264494,0.0,0.0,0.0,0.0
United Kingdom,296,East Anglia One North Wind Farm,,800.0,Approved,,36100.7238515,208.113975738,52.38108700715122,2.4311542685098897,0.0,0.0,794.044665012407,794.044665012407
Denmark,297,Kattegat II,,,Planned,,14997.4180379,122.039005805,56.362330618441824,11.258587112885277,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,298,Nordsren I,,,Planned,,19964.4193443,3176.14165614,56.01892469860272,7.424931509341479,0.0,292.478947368421,292.478947368421,292.478947368421
United Kingdom,307,,,2907.0,Approved,2022,61156.6974949,856.148431327,56.65765281140405,-0.8746607070465856,0.0,0.0,2885.359801488834,2885.359801488834
Germany,310,N-3.6,,480.0,Planned,,37107.5810484,33.1613196136,54.04578471935206,6.772104306334744,0.0,845.5634309812486,845.5634309812486,845.5634309812486
United Kingdom,311,,,2610.0,Approved,2022,79494.0690787,858.47744927,56.687488259091545,-0.39285369569038797,0.0,0.0,2590.570719602978,2590.570719602978
United Kingdom,312,,,1200.0,Approved,2022,115492.870236,279.328872283,56.84573779242709,0.03552707239735358,0.0,0.0,0.0,1191.0669975186104
United Kingdom,313,,,2000.0,Approved,2022,4746.59509927,656.569188809,58.91536414106745,-4.193018420530754,0.0,0.0,0.0,1985.1116625310174
United Kingdom,314,,,1500.0,Approved,2022,26071.1651892,389.929987642,58.86306738274232,-5.537115241462326,0.0,0.0,0.0,1488.8337468982631
United Kingdom,315,,,2000.0,Approved,2022,93215.228546,859.871621827,57.30600006247549,0.11412758796085755,0.0,0.0,0.0,1985.1116625310174
United Kingdom,316,,,798.0,Approved,2022,62863.1618201,199.830030431,57.41865461063551,-0.5697460668663503,0.0,0.0,0.0,792.059553349876
United Kingdom,317,,,1008.0,Approved,2022,38410.9201556,187.084555519,56.97488751677137,-1.3459019237294672,0.0,0.0,0.0,1000.4962779156328
Germany,318,N-3.5,,420.0,Planned,,33834.9484712,28.8531392758,54.02592642599308,6.848564787506425,0.0,739.8680021085926,739.8680021085926,739.8680021085926
Germany,319,N-3.7,,225.0,Planned,,33852.2711603,17.3219436249,54.04490126004323,7.062120696567379,0.0,396.3578582724603,396.3578582724603,396.3578582724603
United Kingdom,320,META Phase 2 - East Pickard Bay,,,Production,,346.389310239,0.95926066098,51.663065046870166,-5.108082946991271,0.0,0.0,0.0,0.0
United Kingdom,321,,,1008.0,Approved,2022,17230.850137,199.736833914,58.86193264457764,-2.200573195851545,0.0,0.0,0.0,1000.4962779156328
United Kingdom,322,,,1000.0,Approved,2022,36900.4381182,256.257156832,58.51438071828015,-2.1456147629671922,0.0,0.0,0.0,992.5558312655087
United Kingdom,323,,,495.0,Approved,2022,25206.4321231,103.0879222,58.796015224375054,-6.361776068778455,0.0,0.0,0.0,491.3151364764268
United Kingdom,324,,,840.0,Approved,2022,3564.13841745,161.299912916,58.40807950320158,-6.787870771138328,0.0,0.0,0.0,833.7468982630273
United Kingdom,325,,,1000.0,Approved,2022,23311.1742865,428.951319723,58.19692755274125,-2.4864276002771275,0.0,0.0,0.0,0.0
United Kingdom,326,,,500.0,Approved,2022,47477.5365445,134.021300218,58.17323610104737,-1.8019990427115176,0.0,0.0,0.0,0.0
United Kingdom,327,META Phase 2 - Dale Roads,,,Production,,178.042297429,0.19561791831,51.711831256209045,-5.124597050661276,0.0,0.0,0.0,0.0
Germany,328,N-3.8,,433.0,Planned,,37025.783935,23.2122669199,54.06807741898908,6.893269210208761,0.0,762.7686783643347,762.7686783643347,762.7686783643347
United Kingdom,329,,,3000.0,Approved,2022,75714.703514,683.988485199,58.16203779668356,-0.6226070254348444,0.0,0.0,0.0,0.0
United Kingdom,330,,,960.0,Approved,2022,74920.3167797,330.838291353,58.40871503079095,-1.2352298020508188,0.0,0.0,0.0,0.0
United Kingdom,331,,,2000.0,Approved,2022,0.0,753.746085292,56.01413752098244,-6.673811947831022,0.0,0.0,0.0,0.0
United Kingdom,332,Berwick and Marr Bank Wind Farm,,3200.0,Planned,,43430.2454549,655.023683239,56.29170591207441,-1.4668248122173566,0.0,0.0,0.0,0.0
Germany,333,N-7.2,,930.0,Planned,,75915.2330617,58.3486414757,54.288410581532716,6.223840999585519,0.0,1638.2791475261693,1638.2791475261693,1638.2791475261693
Germany,334,N-9.1,,1000.0,Planned,,98842.0400558,99.7298017253,54.437195562706336,5.764978628610117,0.0,1761.5904812109347,1761.5904812109347,1761.5904812109347
Germany,335,N-9.4,,1000.0,Planned,,112838.496409,98.8353352011,54.559858958071835,5.754104777955212,0.0,1761.5904812109347,1761.5904812109347,1761.5904812109347
Germany,336,N-10.1,,1000.0,Planned,,109485.13181,94.6446942304,54.60205687813917,6.143060864741504,0.0,1761.5904812109347,1761.5904812109347,1761.5904812109347
Germany,337,N-10.2,,1000.0,Planned,,119317.840071,92.6825723441,54.67531394638528,5.984787920038724,0.0,1761.5904812109347,1761.5904812109347,1761.5904812109347
United Kingdom,338,Moray Offshore Wind Farm (West),,1500.0,Approved,,22238.6316842,225.219983699,58.09746086753434,-3.00555245441811,0.0,0.0,0.0,0.0
Germany,340,N-9.2,,1000.0,Planned,,108016.60489,104.226399757,54.520910324658374,5.900588992775325,0.0,1761.5904812109347,1761.5904812109347,1761.5904812109347
United Kingdom,341,TwinHub,,40.0,Approved,,15166.7467503,7.96105440537,50.36401797915175,-5.611043559621892,0.0,0.0,0.0,0.0
United Kingdom,342,META Phase 2 - Warrior Way,,,Production,,750.690815087,0.09152906789,51.70277659033978,-4.92371879380607,0.0,0.0,0.0,0.0
Denmark,345,Bornholm III,,,Planned,,41701.4416297,61.0800596515,54.587383154047174,14.997820844007652,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,346,Fanm Bugt,,,Planned,,16822.2235913,236.261655472,55.232987216742444,8.072928408102136,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,347,Nordsren III vest,,,Planned,,109379.688329,4484.63188183,56.18967095838958,5.949898348597063,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,348,Frederikshavn,,,Planned,,8136.95758089,522.366210213,57.54523712836172,10.978079879277793,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,349,Bornholm II,,,Planned,,8013.13589888,661.378017123,54.79404829450533,14.703674787601612,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,350,Bornholm I,,,Planned,,5278.915472,422.042681049,54.98863858088761,14.328568286622305,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,351,Jammerbugt,,,Planned,,19922.7559187,162.19555592,57.392610822777264,9.245659067405539,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,352,Krigers Flak Nord,,,Planned,,15010.562368,98.0739717863,55.155667785930845,12.737939338105726,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,353,Kattegat I,,,Planned,,15019.3358941,914.127041377,56.90318746936343,11.197448358279113,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,354,Jyske Banke,,,Planned,,43772.7431737,802.732063495,57.036113171866454,7.089137965736997,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,355,Krigers Flak Syd,,,Planned,,14997.8734412,75.2563816098,54.894176333520505,12.85114428530909,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,356,Nordsren III,,,Planned,,73863.31624,1642.59427245,56.58613077279302,6.552830032261633,0.0,292.478947368421,292.478947368421,292.478947368421
Denmark,357,NW Grund,,,Planned,,1145.64675529,1.64807932036,55.345000328254784,15.154999980867753,0.0,292.478947368421,292.478947368421,292.478947368421
Netherlands,358,Hollandse Kust D,,,Planned,,51467.1608987,348.451579333,52.62956034209657,3.7116927529198107,0.0,0.0,2622.222222222222,2622.222222222222
